Title,Info,Rating,IMG_URL
Fate/Zero 2nd Season,"TV (12 eps)
        Apr 2012 - Jun 2012
        1,000,610 members",8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1522/117645.jpg?s=e54dcf99dc0874bc5b228ebe8496c857
Fruits Basket 2nd Season,"TV (25 eps)
        Apr 2020 - Sep 2020
        397,339 members",8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1972/111635.jpg?s=9f6f5fa524e70efe80167f14f18b9163
Kimi no Suizou wo Tabetai,"Movie (1 eps)
        Sep 2018 - Sep 2018
        763,712 members",8.57,https://cdn.myanimelist.net/r/50x70/images/anime/1768/93291.jpg?s=9511a058515d30808733fff309b97756
Shoujo☆Kageki Revue Starlight Movie,"Movie (1 eps)
        Jun 2021 - Jun 2021
        9,702 members",8.56,https://cdn.myanimelist.net/r/50x70/images/anime/1378/119190.jpg?s=efa94668d516b81db418e026af363dae
Mushishi: Hihamukage,"Special (1 eps)
        Jan 2014 - Jan 2014
        124,333 members",8.55,https://cdn.myanimelist.net/r/50x70/images/anime/10/59315.jpg?s=a45594e7790d4a09b63722ca901cff1c
Neon Genesis Evangelion: The End of Evangelion,"Movie (1 eps)
        Jul 1997 - Jul 1997
        785,155 members",8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1404/98182.jpg?s=890ec3587370861a797eb6b38b2ef21a
Zoku Natsume Yuujinchou,"TV (13 eps)
        Jan 2009 - Mar 2009
        226,595 members",8.55,https://cdn.myanimelist.net/r/50x70/images/anime/4/79738.jpg?s=dbd5bb99becb12fa6d689196afefa1ff
Bakuman. 3rd Season,"TV (25 eps)
        Oct 2012 - Mar 2013
        305,595 members",8.55,https://cdn.myanimelist.net/r/50x70/images/anime/6/41845.jpg?s=3e8c09dddfce41e17d602c0cd81875e1
Kimetsu no Yaiba,"TV (26 eps)
        Apr 2019 - Sep 2019
        2,422,105 members",8.55,https://cdn.myanimelist.net/r/50x70/images/anime/1286/99889.jpg?s=e497d08bef31ae412e314b90a54acfda
Haikyuu!! To the Top Part 2,"TV (12 eps)
        Oct 2020 - Dec 2020
        648,940 members",8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1453/106768.jpg?s=08662a9ed32a8637dbdfa92f67949078
Kara no Kyoukai Movie 5: Mujun Rasen,"Movie (1 eps)
        Aug 2008 - Aug 2008
        218,355 members",8.54,https://cdn.myanimelist.net/r/50x70/images/anime/1574/112838.jpg?s=58d26fa18ddfe934b6795cf787d418b9
